#x    u
0.442006    0.4
0.445141    0.4
0.448276    0.4
0.451411    0.4
0.454545    0.4
0.45768    0.4
0.460815    0.4
0.46395    0.4
0.467085    0.4
0.470219    0.4
0.473354    0.4
0.476489    0.4
0.479624    0.4
0.482759    0.4
0.485893    0.4
0.489028    0.4
0.492163    0.4
0.495298    0.4
0.498433    0.4
0.501567    0.4
0.504702    0.4
0.507837    0.4
0.510972    0.4
0.514107    0.4
0.517241    0.4
0.520376    0.4
0.523511    0.4
0.526646    0.4
0.529781    0.4
0.532915    0.4
0.53605    0.4
0.539185    0.4
0.54232    0.4
0.545455    0.4
0.548589    0.4
0.551724    0.4
0.554859    0.4
0.557994    0.4
0.561129    0.4
0.564263    0.4
0.567398    0.4
0.570533    0.4
0.573668    0.4
0.576803    0.4
0.579937    0.4
0.583072    0.4
0.586207    0.4
0.589342    0.4
0.592476    0.4
0.595611    0.4
0.598746    0.4
0.601881    0.8
0.605016    0.8
0.60815    0.8
0.611285    0.8
0.61442    0.8
0.617555    0.8
0.62069    0.8
0.623824    0.8
0.626959    0.8
0.630094    0.8
0.633229    0.8
0.636364    0.8
0.639498    0.8
0.642633    0.8
0.645768    0.8
0.648903    0.8
0.652038    0.8
0.655172    0.8
0.658307    0.8
0.661442    0.8
0.664577    0.8
0.667712    0.8
0.670846    0.8
0.673981    0.8
0.677116    0.8
0.680251    0.8
0.683386    0.8
0.68652    0.8
0.689655    0.8
0.69279    0.8
0.695925    0.8
0.69906    0.8
0.702194    0.8
0.705329    0.8
0.708464    0.8
0.711599    0.8
0.714734    0.8
0.717868    0.8
0.721003    0.8
0.724138    0.8
0.727273    0.8
0.730408    0.8
0.733542    0.8
0.736677    0.8
0.739812    0.8
0.742947    0.8
0.746082    0.8
0.749216    0.8
0.752351    0.8
0.755486    0.8
0.758621    0.8
0.761755    0.8
0.76489    0.8
0.768025    0.8
0.77116    0.8
0.774295    0.8
0.777429    0.8
0.780564    0.8
0.783699    0.8
0.786834    0.8
0.789969    0.8
0.793103    0.8
0.796238    0.8
0.799373    0.8
0.802508    0.4
0.805643    0.4
0.808777    0.4
0.811912    0.4
0.815047    0.4
0.818182    0.4
0.821317    0.4
0.824451    0.4
0.827586    0.4
0.830721    0.4
0.833856    0.4
0.836991    0.4
0.840125    0.4
0.84326    0.4
0.846395    0.4
0.84953    0.4
0.852665    0.4
0.855799    0.4
0.858934    0.4
0.862069    0.4
0.865204    0.4
0.868339    0.4
0.871473    0.4
0.874608    0.4
0.877743    0.4
0.880878    0.4
0.884013    0.4
0.887147    0.4
0.890282    0.4
0.893417    0.4
0.896552    0.4
0.899687    0.4
0.902821    0.4
0.905956    0.4
0.909091    0.4
0.912226    0.4
0.915361    0.4
0.918495    0.4
0.92163    0.4
0.924765    0.4
0.9279    0.4
0.931034    0.4
0.934169    0.4
0.937304    0.4
0.940439    0.4
0.943574    0.4
0.946708    0.4
0.949843    0.4
0.952978    0.4
0.956113    0.4
0.959248    0.4
0.962382    0.4
0.965517    0.4
0.968652    0.4
0.971787    0.4
0.974922    0.4
0.978056    0.4
0.981191    0.4
0.984326    0.4
0.987461    0.4
0.990596    0.4
0.99373    0.4
0.996865    0.4
1    0.4
